%	Clasificador de Trabajos Especiales de Grado
%
%	Mineria de Datos Sem II 
%
%	De Freitas, De Tejada, Vergara
%
@relation ClasificadorTEG
@ATTRIBUTE Titulo string
@ATTRIBUTE Resumen string
@ATTRIBUTE Palabras_Clave string
@ATTRIBUTE Mencion {'APLICACIONES EN INTERNET', 'BASES DE DATOS', 'CALCULO CIENTIFICO', 'COMPUTACION GRAFICA', 'INGENIERIA DE SOFTWARE', 'INTELIGENCIA ARTIFICIAL', 'MODELOS Y PROGRAMACION MATEMATICA', 'REDES DE COMPUTADORAS', 'SISTEMAS DE INFORMACION', 'SISTEMAS DISTRIBUIDOS Y PARALELOS', 'TECNOLOGIAS EDUCATIVAS'}
@DATA
'IMPLEMENTACION DE UN SISTEMA DE SEGURIDAD PARA REDES INALAMBRICAS BASADO EN LA INTEGRACION DEL PROTOCOLO RADIUS Y EL PROTOCOLO LDAP', 'EN LA ACTUALIDAD, LA FACULTAD DE CIENCIAS OFRECE EL SERVICIO DE CONEXION A LA RED INTERNA, ASI COMO TAMBIEN ACCESO A INTERNET, ESTO SE HACE MEDIANTE EL USO DE UNA RED INALAMBRICA LA CUAL CARECE DE UN MECANISMO DE SEGURIDAD QUE PERMITA CONOCER QUIENES INGRESAN A LA RED Y LLEVAR UN CONTROL DE LAS ACTIVIDADES EN LA MISMA TOMANDO EN CUENTA LO ANTERIORMENTE PLANTEADO, SE IMPLEMENTO UN SISTEMA DE CONTROL DE ACCESO INALAMBRICO EL CUAL REPRESENTA UNA ALTERNATIVA DE SEGURIDAD COMO SOLUCION A LA PROBLEMATICA DE LA RED INALAMBRICA DE LA FACULTAD DE CIENCIAS DICHA SOLUCION ESTA BASADA EN EL USO DE LOS PROTOCOLOS RADIUS Y LDAP, DE MANERA TAL QUE SE PUEDA REALIZAR UN PROCESO DE AUTENTICACION AL MOMENTO DE INGRESAR A LA RED DICHO PROCESO ES REALIZADO POR EL SERVIDOR RADIUS EL CUAL CONSULTARA LA INFORMACION CONTENIDA EN EL SERVIDOR LDAP Y LA COMPARARA CON LA SUMINISTRADA POR LOS USUARIOS ADEMAS, EL SERVIDOR RADIUS SE ENCARGA TAMBIEN DE MANTENER UN REGISTRO DE LAS CONEXIONES QUE SE HAYAN REALIZADO DIARIAMENTE Y DE ESTA MANERA PODER LLEVAR UN CONTROL DE QUIENES HAN INGRESADO A LA RED, DESDE QUE EQUIPO SE REALIZO DICHA CONEXION, ASI COMO TAMBIEN LA FECHA Y HORA DE LA MISMA POR OTRA PARTE, PARA SIMPLIFICAR EL PROCESO DE AUTENTICACION A LOS USUARIOS SE CONFIGURO UN PORTAL CAUTIVO, EL CUAL PERMITE REALIZAR DICHO PROCESO MEDIANTE UNA PAGINA WEB LA CUAL SE MOSTRARA A LOS USUARIOS UNA VEZ SE HAYAN CONECTADO A LA RED INALAMBRICA', 'RED INALAMBRICA, AUTENTICACION, RADIUS, LDAP, PORTAL CAUTIVO','REDES DE COMPUTADORAS'
'INTEGRACION DEL REPOSITORIO DE AMBAR CON EL REPOSITORIO DE METADATA A TRAVES DE LA CAPA DE SERVICIOS', 'EL PRESENTE TRABAJO CONSISTE EN LA INTEGRACION DE LA BASES DE DATOS BD DEL SIGAMBAR CON EL REPOSITORIO DE METADATA A TRAVES DE LA CAPA DE SERVICIOS WEB, ASOCIADA SOLO A LOS OBJETOS DE APRENDIZAJE ACTUALMENTE, AMBAR ES UN PROYECTO QUE POSEE DOS APLICACIONES, DONDE CADA APLICACION MANEJA INFORMACION SOBRE EL MISMO RECURSO, EL CUAL ES LLAMADO OBJETO DE APRENDIZAJE OA POR UN LADO, SE TIENE LA BASES DE DATOS BD DEL SIGAMBAR QUE ALMACENA OA, PERO NO POSEE UNA ORGANIZACION ESTRUCTURADA DE LOS ATRIBUTOS QUE DESCRIBEN A ESTOS, ES DECIR, LOS METADATOS Y POR OTRO LADO, SE TIENE EL REPOSITORIO DE METADATA EL CUAL POSEE TODA UNA ESTRUCTURA ESTANDARIZADA DE LOS ATRIBUTOS QUE DESCRIBEN A LOS OA, POR TANTO, AL INTEGRAR ESTAS APLICACIONES, SE ESTA FACILITANDO LA BUSQUEDA, RECUPERACION, CATALOGACION Y ADMINISTRACION DE LOS OA LA DEFINICION DE LOS SERVICIOS WEB PARA EL ACCESO A LA BD DEL SIGAMBAR MEJORA LA INTEROPERABILIDAD ENTRE LAS DIFERENTES APLICACIONES QUE CONSTITUIRAN EL SISTEMA, YA QUE ESTOS OFRECEN UNA ALTERNATIVA DE SOFTWARE INDEPENDIENTE EN CUANTO A LA PLATAFORMA, BASADA EN ESTANDARES PARA LA INTEGRACION DE APLICACIONES, LA AUTOMATIZACION DE PROCESOS DE NEGOCIO Y LA PUBLICACION DE LA INFORMACION DE DIVERSAS FUENTES EL CONTAR CON UNA INFRAESTRUCTURA INTEGRADA, SEGURA, ESCALABLE Y DISPONIBLE, DISMINUYE LOS COSTOS Y PERMITE COMPARTIR INFORMACION DE MANERA CONFIABLE LA INTEGRACION DE LOS REPOSITORIOS DE METADATA Y DE OA, PROPORCIONA UN ESPACIO PARA MANIPULAR OA QUE PUEDEN SER ALMACENADOS Y RECUPERADOS DE MANERA EFICIENTE LOS OBJETOS AHORA SERAN DESCRITOS A TRAVES DE UNA METADATA QUE OBEDECE A LAS ESPECIFICACIONES DE UN ESTANDAR MUNDIAL ESPECIALIZADO PARA DESCRIBIRLA, LLAMADO LEARNING OBJECT METADATA LOM, QUE PERMITE IDENTIFICARLOS PARA LUEGO POTENCIAR SU BUSQUEDA, EVALUACION, OBTENCION Y REUTILIZACION LAS TECNOLOGIAS Y HERRAMIENTAS UTILIZADAS POR AMBAS APLICACIONES CONTRIBUYERON AL DESARROLLO EXITOSO DE LA INTEGRACION LA TECNOLOGIA JSP, QUE PERMITE GENERAR CONTENIDO DINAMICO PARA AMBIENTE WEB CON PROGRAMACION EN JAVA, LENGUAJE ORIENTADO A OBJETOS PARA EL DESARROLLO DE LOS SERVICIOS WEB SERVIDOR DE APACHE TOMCAT, SERVIDOR QUE SE UTILIZO COMO CONTENEDOR WEB DE LA APLICACION AXIS Y AXIS2, IMPLEMENTACION DE SOAP SIMPLE OBJECT ACCESS PROTOCOL QUE PROPORCIONA EL ENTORNO PARA LA EJECUCION Y PUBLICACION DE LOS SERVICIOS WEB, ENTRE OTROS ES IMPORTANTE RESALTAR QUE EL PROCESO DE INTEGRACION SE REALIZARA UNICAMENTE SOBRE LOS OBJETOS DE APRENDIZAJE DEBIDO A QUE EL REPOSITORIO DE METADATA SOLO ALMACENA INFORMACION DESCRIPTIVA SOBRE ELLOS Y NO INFORMACION ADICIONAL','OBJETOS DE APRENDIZAJE OA, METADATA, REPOSITORIO DE OBJETOS DE APRENDIZAJE, REPOSITORIO DE METADATA, SERVICIOS WEB, LOM','BASES DE DATOS'
'AUTOMATIZACION DE PROCESOS RELACIONADOS CON LAS SOLICITUDES ESTUDIANTILES Y ACTIVIDADES ADMINISTRATIVAS Y DE DOCENCIA DE LA FACULTAD DE CIENCIAS','EL OBJETIVO DEL PRESENTE CONSISTE EN EL DESARROLLO DE UNA APLICACION WEB QUE AUTOMATICE EL CONJUNTO DE PROCESOS RELACIONADOS CON LAS DIVERSASSOLICITUDES ESTUDIANTILES Y ACTIVIDADES QUE REALIZAN LAS ESCUELAS Y DEPENDENCIAS DE LA FACULTAD DE CIENCIAS, EN RELACION CON LA DIVISION DE CONTROL DE ESTUDIOS DANDO SOPORTEAL PERSONAL INVOLUCRADO, PARA AUMENTAR ASI SU SATISFACCION, Y AL MISMO TIEMPO OPTIMIZARLOS COSTOS Y LOS TIEMPOS DE RESPUESTA PARA ELLO, SE APLICO UNA ADAPTACION DEL METODO DEDESARROLLO RAPIDO DE APLICACIONES, DONDE SE REALIZO LA FASE DE PLANEACION DE REQUERIMIENTOS PARA CADA PROCESO, EL TALLER DE DISENO EL CUAL SE DIVIDE EN ITERACIONES YLA IMPLEMENTACION PARA LA APLICACION DE PRUEBAS COMO PRODUCTO FINAL, SE OBTUVO UN AINTEGRACION DE ESTOS PROCESOS CON LA APLICACION WEB DENOMINADA CONEST, QUEACTUALMENTE REPRESENTA EL SISTEMA DE GESTION ACADEMICA DE LA DIVISION DE CONTROL DEESTUDIOS DE LA FACULTAD DE CIENCIAS EN LA UNIVERSIDAD CENTRAL DE VENEZUELA', 'TECNOLOGIAS PARA EL DESARROLLO DE APLICACIONES WEB, MODELO VISTA CONTROLADOR MVC,RUBY ON RAILS, CLIENTESERVIDOR, SOLICITUDES ESTUDIANTILES, DIVISION DE CONTROL DEESTUDIOS, CONEST', 'BASES DE DATOS'
'SEGMENTACION SEMIAUTOMATICA DE IMAGENES DIGITALES BASADA EN GRABCUT','EN LA ACTUALIDAD LA SEGMENTACION DE IMAGENES A TOMADO GRAN IMPORTANCIA DEBIDO AL AVANCE EN EL PODER DE COMPUTO Y A LA GRAN UTILIDAD DE LA SEGMENTACION, COMO EL TRATAMIENTO DE IMAGENES MEDICA, Y LA EXTRACCION DE AREAS DE INTERES PARA DIVERSOS CAMPOS DE TRABAJO UNO DE LAS TECNICAS MAS NOVEDOSAS Y QUE PROVEE MEJORES RESULTADOS CON MUY POCA INTERVENCION DEL USUARIO ES LA LLAMADA GRABCUT, LA CUAL UTILIZANDO MODELOS ESTADISTICOS Y ALGORITMOS DE GRAFOS, PERMITE OBTENER UN OBJETO DE INTERES DENTRO DE UNA IMAGEN DIGITAL', 'SEGMENTACION, IMAGEN, DIGITAL, IMAGENES DIGITALES, DETECCION DE BORDES, SILUETAS, BINARIO, COMPUTACION','COMPUTACION GRAFICA'
'DESARROLLO DE UN MODULO DE GENERACION DE REPORTES PARA EL SISTEMA CONEST DE LA FACULTAD DE CIENCIAS', 'ACTUALMENTE LA DIVISION DE CONTROL DE ESTUDIOS DE LA FACULTAD DE CIENCIAS DE LA UNIVERSIDAD CENTRAL DE VENEZUELA DISPONE DE UNA APLICACION WEB DENOMINADA CONEST, LA CUAL SE ENCARGA DE AUTOMATIZAR SUS PROCESOS Y A SU VEZ ALMACENA TODA LA INFORMACION CORRESPONDIENTE A LA GESTION ACADEMICA DE LA FACULTAD PARA LOS DISTINTOS PROCESOS QUE LLEVA A CABO LA DIVISION DE CONTROL DE ESTUDIOS ES NECESARIO EMITIR UNA SERIE DE REPORTES, PARA LOS CUALES NO POSEEN UNA HERRAMIENTA QUE LES PERMITA ELABORARLOS, ADEMAS ACTUALMENTE EL MODELO DE DATOS DE ESTE SISTEMA POSEE ALREDEDOR DE 140 TABLAS Y ESTO DIFICULTA LA TAREA DE ELABORACION DE REPORTES DADA ESTA SITUACION, EN EL PRESENTE SE DESARROLLO UNA APLICACION, LA CUAL ES A SU VEZ UN MODULO DEL SISTEMA CONEST, QUE ESTA DEDICADO EXCLUSIVAMENTE A LA GENERACION Y ADMINISTRACION DE REPORTES A PARTIR DE LOS DATOS ALMACENADOS EN EL REPOSITORIO DE DATOS, TODO ESTO BASANDOSE EN EL ESTUDIO DE ALGUNOS GENERADORES DE REPORTES COMERCIALES, ANALIZANDO LA FORMA COMO ESTOS, A TRAVES DE SECUENCIAS ORDENADAS DE PASOS WIZARDS, APOYAN AL USUARIO EN LA TAREA DE ELABORACION DE REPORTES ENTRE LOS ASPECTOS DE DESARROLLO DE ESTA APLICACION TENEMOS EL DISENO DEL WIZARD QUE PERMITE LA CREACION DE LOS REPORTES DE UNA FORMA MAS SENCILLA, EL DESARROLLO DE LOS ALGORITMOS DE EXPORTACION DE DATOS A LOS FORMATOS SOPORTADOS, EL ANALISIS DEL MODELO DE DATOS ACTUAL DE CONEST, EN BASE AL CUAL SE DISENARON UN CONJUNTO DE VISTAS QUE FACILITEN EL ACCESO A LOS DATOS Y LA INTEGRACION CON EL SISTEMA CONEST', 'REPORTE, RUBY ON RAILS, WIZARD, MYSQL, VISTAS','APLICACIONES EN INTERNET'
'ESTUDIO DE DESEMPENO EN UN AMBIENTE DE COMUNICACION BLUETOOTH CASO DE ESTUDIO PICONET Y SCATTERNET', 'LA SIGUIENTE INVESTIGACION TRATA DE PRESENTAR UN METODO QUE PERMITA LA INTERCONEXION DE VARIAS PICONETS UNA RED DE DISPOSITIVOS QUE SE CONECTAN UTILIZANDO BLUETOOTH, ESTAS AGRUPACIONES SON CONOCIDAS CON EL NOMBRE DE SCATTERNET Y ESTUDIAREMOS EL IMPACTO EN EL DESEMPENO DE LA COMUNICACION EXTREMO A EXTREMO ENTRE DIVERSOS DISPOSITIVOS BLUETOOTH A PESAR DE LA POPULARIDAD DE LA TECNOLOGIA BLUETOOTH PARA LA INTERCONEXION INALAMBRICA DE DISPOSITIVOS ELECTRONICOS TALES COMO TECLADOS, MOUSE, IMPRESORAS, TELEFONOS MOVILES, AURICULARES, PDA ASISTENTE DIGITAL PERSONAL Y COMPUTADORES EXISTEN POCOS TRABAJOS DE INVESTIGACION PARA LA IMPLEMENTACION Y MEDICION DE DESEMPENO DE LA TOPOLOGIA DE COMUNICACION SCATTERNET BLUETOOTH ADICIONALMENTE, TANTO LA ESPECIFICACION DEL GRUPO ESPECIAL DE INVESTIGACION SIG SPECIAL INTEREST GROUP BLUETOOTH CREADORES DE LA TECNOLOGIA Y EL ESTANDAR DE LA IEEE 802151 NO DEFINEN UN MECANISMO PARA LA CREACION DE ESTA TOPOLOGIA, LO QUE MOTIVO EL DESARROLLO DE ESTA INVESTIGACION EN ESTA INVESTIGACION SE PRESENTA UNA METODOLOGIA PARA LA IMPLEMENTACION  DE LA ESTRUCTURA DE COMUNICACION SCATTERNET, DESARROLLADO SOBRE UNA PLATAFORMA LINUX EN PARTICULAR LA DISTRIBUCION UBUNTU 804 – HARDY HERON, ADICIONALMENTE SE USARON LOS SIGUIENTES RECURSOS EL PERFIL PAN PERSONAL AREA NETWORK, LAS BIBLIOTECAS Y HERRAMIENTAS BRINDADAS POR BLUEZ PILA OFICIAL DE PROTOCOLOS BLUETOOTH PARA LINUX SE DISENARON UN CONJUNTO DE ESCENARIOS CON DIVERSAS TOPOLOGIAS CON EL OBJETO DE EVALUAR EL DESEMPENO EN LAS COMUNICACIONES CON LA TECNOLOGIA BLUETOOTH E IDENTIFICAR AQUELLOS FACTORES QUE LO DEGRADAN EL CONJUNTO DE MEDIDAS OBTENIDAS A PARTIR DE LAS PRUEBAS REALIZADAS, MOSTRARON UN BAJO DESEMPENO EN TOPOLOGIAS CON SALTOS O NODOS INTERMEDIOS Y EN TOPOLOGIAS POBLADAS CON TRAFICO','ESTANDAR 802151, WPAN, SIG BLUETOOTH, PICONET, SCATTERNET, PERFIL PAN, BLUEZ','REDES DE COMPUTADORAS'
'IMPLANTACION DE UNA PLATAFORMA DE SOFTWARE COLABORATIVO QUE PERMITA INTEGRAR SERVICIOS OFERTADOS POR LA FACULTAD DE CIENCIAS', 'EN ESTE TRABAJO SE DESARROLLO E IMPLANTO UNA APLICACION QUE PERMITA EL ACCESO CENTRALIZADO A UN CONJUNTO DE SERVICIOS PROPIOS DE LA FACULTAD DE CIENCIAS DE LA UNIVERSIDAD CENTRAL DE VENEZUELA, COMO LO SON LA SOLICITUD Y ADMINISTRACION DE LOS SOPORTES TECNICOS, EL ACCESO AL SISTEMA DE RESERVACION DE SALAS, EL ACCESO A UN CLIENTE DE MENSAJERIA INSTANTANEA Y LA INTEGRACION DE UN SISTEMA DE ADMINISTRACION DE FOROS QUE PERMITA MANTENER HILOS DE DISCUSION ENTRE LOS USUARIOS DE LA INTRANET','INTRANET, COMUNICACION, CENTRALIZACION, SISTEMA COLABORATIVO, PHP, JAVASCRIPT','APLICACIONES EN INTERNET'
'DESARROLLO DE UN PROTOTIPO DE APLICACION WEB PARA AUTOMATIZAR Y OPTIMIZAR LOS PROCESOS ACADEMICOS DE LA COORDINACION DE POSTGRADO DE LA FACULTAD DE CIENCIAS DE LA UNIVERSIDAD CENTRAL DE VENEZUELA', 'EN LA UNIDAD ACADEMICA DE LA COORDINACION DE POSTGRADO DE LA FACULTAD DE CIENCIAS DE LA UNIVERSIDAD CENTRAL DE VENEZUELA INTERVIENEN UN DETERMINADO NUMERO DE PROCESOS DONDE SE DESTACA SU COMPLEJIDAD Y FLUJO DE INFORMACION ASI MISMO EL COMO AFECTAN DE MANERA DIRECTA O INDIRECTA EL TIEMPO DE RESPUESTA PARA LLEVARA CABO LA REALIZACION EFECTIVA DE LOS DIVERSOS TRAMITES INTERNOS Y EXTERNOS QUE DEMANDA, Y SE DEMANDAN EN LA COORDINACION ANTES MENCIONADA ESTE TIENE COMO OBJETIVO DESARROLLAR UN PROTOTIPO QUE PERMITA SISTEMATIZAR LOS PROCESOS ACADEMICOS DE LA COORDINACION DE POSTGRADO Y AYUDAR A LA COMUNIDAD QUE LA SATISFACEN DICHA COMUNIDAD ESTA CONFORMADA POR ESTUDIANTES, DOCENTES Y PERSONAL ADMINISTRATIVO QUE LABORAN EN DICHA ORGANIZACION POR ESA RAZON DEBE ESTAR ENFOCADA EN ADAPTARSE A LAS NECESIDADES Y DAR SOPORTE A TODAS LAS SOLICITUDES ESTUDIANTILES, DEL PERSONAL ADMINISTRATIVO, ASI COMO TAMBIEN A LOS PROCESOS ACADEMICOS PARA LOS DOCENTES', 'COORDINACION DE POSTGRADO, ACADEMICO, AUTOMATIZACION, APLICACION WEB, POSTGRADOS, RUBY ON RAILS, ESTUDIANTES, DOCENTES','APLICACIONES EN INTERNET'
'UNA HERRAMIENTA BASADA EN TECNOLOGIA PALM PILOT PARA EL SISTEMA INDUSTRIAL DE CREDITO ANALISIS DE FACTIBILIDAD Y DISENO DE UNA INTERFAZ DE COMUNICACION','EL BANCO DE LA GENTE EMPRENDEDORA TIENE PLANTEADO DENTRO DE SUS ESTRATEGIAS ORGANIZACIONAL LA IMPLANTACION DE UN SISTEMA QUE APOYE LA GESTION DE LA ASISTENTE ADMINISTRATIVO Y EL ASESOR DE NEGOCIO, AUTOMATIZANDO EL PROCESO DE TRANSCRIPCION DE INFORMACION DE LAS SOLICITUDES DE CREDITO DE LOS CLIENTES Y MEJORANDO LOS PROCESOS DE OBTENCION DE INFORMACION DEL ESTATUS DE LA CARTERA DE CREDITO PARA EL ASESOR DE NEGOCIO EL MEJORAMIENTO DE AMBOS PROCESOS AUMENTARIA LA PRODUCTIVIDAD DE AMBAS AREAS, LO QUE SE TRADUCIRIA EN UN OFRECIMIENTO ADECUADO DEL SERVICIO QUE SE LE PRESTA A LOS CLIENTES Y EL CUMPLIMIENTO DEL ESLOGAN DE LA ORGANIZACION CREDITOS RAPIDOS Y SIN TANTO PAPELEO OTRA VENTAJA PARA EL DESARROLLO DE UN SISTEMA DE ESTA ENVERGADURA ES LO RELACIONADO AL AHORRO DE RECURSOS MATERIALES TALES COMO PAPEL, TINTA, CONSUMIBLES, ESPACIO FISICO DE EQUIPOS DESTINADOS PARA ASESORES DE NEGOCIO, ETC POR LO ANTES EXPUESTO ES QUE SE ESTA DESARROLLANDO UN SISTEMA BASADO EN TECNOLOGIA PAL PILOT DISPOSITIVOS MOVILES PARA LA CAPTURA DE INFORMACION EN CAMPO DE LAS SOLICITUDES DE CREDITO DE CLIENTES, QUE A TRAVES DE SU RESPECTIVA INTERFAZ PODRA LLEVAR DICHA INFORMACION AL CORE PRINCIPAL DE LA ORGANIZACION ELIMINANDO LAS TRANSCRIPCIONES INNECESARIAS, EL GASTO EXCESIVO DE PAPEL, USO DE FORMULARIOS, CONSUMIBLES, ETC Y ELIMINARA EN GRAN MEDIDA EL USO Y TIEMPO REQUERIDO DE LA FUERZA DE VENTA EN UN COMPUTADOR PERSONAL, YA QUE LA MAYORIA DE LA INFORMACION REQUERIDA ESTARA DISPONIBLE EN SU DISPOSITIVO DE BOLSILLO PALM PILOT A TRAVES DE LAS DISTINTAS SINCRONIZACIONES CON LA INTERFAZ, MEJORANDO ASI EFICIENTEMENTE EL SERVICIO QUE SE LE PRESTA A LOS CLIENTES DE ESTA PRESTIGIOSA ORGANIZACION FINANCIERA', 'ESTRATEGIA ORGANIZACIONAL, PROCESOS, INTERFASE, DISPOSITIVOS MOVILES, AHORRO, PRODUCTIVIDAD Y SERVICIO','TECNOLOGIAS EDUCATIVAS'
'PRECONDICIONAMIENTO POR APROXIMACIONES A LA MATRIZ PSEUDOINVERSA PARA EL PROBLEMA DE MINIMOS CUADRADOS LINEALES', 'DADA UNA MATRIZ A EN RMXNCON M  N, DE RANGO COMPLETO Y UN VECTOR B EN RM, SE PROPONE UTILIZAR UNA APROXIMACION A LA MATRIZ A EN RNXM, LA PSEUDOINVERSA DE A COMO PRECONDICIONADOR PARA EL PROBLEMA DE MINIMOS CUADRADOS LINEALES ASOCIADO AA Y B DICHA APROXIMACION A A SE OBTENDRA A PARTIR DEL METODO ITERATIVO DE SCHULZ, UN ESQUEMA ITERATIVO BASADO EN EL METODO DE NEWTON EN ESPACIOS DE MATRICES, USADO PARA EL CALCULO DE MATRICES INVERSAS Y PSEUDOINVERSAS EL PROBLEMA DE MINIMOS CUADRADOS PRECONDICIONADO SE RESOLVERA A TRAVES DEL ESQUEMA DE ACELERACION DE CONVERGENCIA RICHARDSONPR22, UN METODO ITERATIVORESIDUAL OBTENIDO COMO A PARTIR DE UNA GENERALIZACION DEL METODO ITERATIVO DE RICHARDSON DE PRIMER ORDEN PARA SISTEMAS DE ECUACIONES LINEALES SE ESTUDIARAN LAS PROPIEDADES DEL PRECONDICIONADOR Y SE REALIZARAN PRUEBAS NUMERICAS CON DIVERSAS MATRICES DENSAS YSPARSE', 'ALGEBRA LINEAL NUMERICA, MINIMOS CUADRADOS, PRECONDICIONAMIENTO, SISTEMAS DE ECUACIONES LINEALES, METODOS ITERATIVOS PARA SISTEMAS LINEALES, MATRICES DENSAS','CALCULO CIENTIFICO'
'ESTUDIO DE DESEMPENO EN UN AMBIENTE DE COMUNICACION BBLUETOOTH CASO DE ESTUDIO PICONET Y SCATTERNET', 'LA SIGUIENTE INVESTIGACION TRATA DE PRESENTAR UN METODO QUE PERMITA LA INTERCONEXION DE VARIAS PICONETS UNA RED DE DISPOSITIVOS QUE SE CONECTAN UTILIZANDO BLUETOOTH, ESTAS AGRUPACIONES SON CONOCIDAS CON EL NOMBRE DE SCATTERNET Y ESTUDIAREMOS EL IMPACTO EN EL DESEMPENO DE LA COMUNICACION EXTREMO A EXTREMO ENTRE DIVERSOS DISPOSITIVOS BLUETOOTH A PESAR DE LA POPULARIDAD DE LA TECNOLOGIA BLUETOOTH PARA LA INTERCONEXION INALAMBRICA DE DISPOSITIVOS ELECTRONICOS TALES COMO TECLADOS, MOUSE, IMPRESORAS, TELEFONOS MOVILES, AURICULARES, PDA ASISTENTE DIGITAL PERSONAL Y COMPUTADORES EXISTEN POCOS TRABAJOS DE INVESTIGACION PARA LA IMPLEMENTACION Y MEDICION DE DESEMPENO DE LA TOPOLOGIA DE COMUNICACION SCATTERNET BLUETOOTH ADICIONALMENTE, TANTO LA ESPECIFICACION DEL GRUPO ESPECIAL DE INVESTIGACION SIG SPECIAL INTEREST GROUP BLUETOOTH CREADORES DE LA TECNOLOGIA Y EL ESTANDAR DE LA IEEE 802151 NO DEFINEN UN MECANISMO PARA LA CREACION DE ESTA TOPOLOGIA, LO QUE MOTIVO EL DESARROLLO DE ESTA INVESTIGACION EN ESTA INVESTIGACION SE PRESENTA UNA METODOLOGIA PARA LA IMPLEMENTACION DE LA ESTRUCTURA DE COMUNICACION SCATTERNET, DESARROLLADO SOBRE UNA PLATAFORMA LINUX EN PARTICULAR LA DISTRIBUCION UBUNTU 804  HARDY HERON, ADICIONALMENTE SE USARON LOS SIGUIENTES RECURSOS EL PERFIL PAN PERSONAL AREA NETWORK, LAS BIBLIOTECAS Y HERRAMIENTAS BRINDADAS POR BLUEZ PILA OFICIAL DE PROTOCOLOS BLUETOOTH PARA LINUXSE DISENARON UN CONJUNTO DE ESCENARIOS CON DIVERSAS TOPOLOGIAS CON EL OBJETO DE EVALUAR EL DESEMPENO EN LAS COMUNICACIONES CON LA TECNOLOGIA BLUETOOTH E IDENTIFICAR AQUELLOS FACTORES QUE LO DEGRADAN EL CONJUNTO DE MEDIDAS OBTENIDAS A PARTIR DE LAS PRUEBAS REALIZADAS, MOSTRARON UN BAJO DESEMPENO EN TOPOLOGIAS CON SALTOS O NODOS INTERMEDIOS Y EN TOPOLOGIAS POBLADAS CON TRAFICO','ESTANDAR 802151, WPAN, SIG BLUETOOTH, PICONET, SCATTERNET, PERFIL PAN, BLUEZ', 'REDES DE COMPUTADORAS'
'ELABORACION DE UN GEM DE RUBY QUE ENCAPSULE UN MIDDLEWARE SMS PARA EL ENVIO Y RECEPCION DE MENSAJES DE TEXTO', 'EL PRESENTE TIENE COMO OBJETIVO PRINCIPAL LA ELABORACION DE UN GEM DE EXTENSION PARA EL LENGUAJE DE PROGRAMACION RUBY ESTE GEM ENCAPSULA UN MIDDLEWARE QUE PERMITE EL ENVIO Y RECEPCION DE MENSAJES DE TEXTO A TRAVES DE DISPOSITIVOS CELULARES CONECTADOS AL COMPUTADOR PARA LA REALIZACION DE LOS MODULOS DE ENVIO Y RECEPCION DE MENSAJES SE UTILIZA GNOKII, LOGRANDO LA OMUNICACION DEL COMPUTADOR CON EL DISPOSITIVO CELULAR A TRAVES DE COMANDOS AT DICHOS COMANDOS ESTAN SOPORTADOS HOY EN DIA POR LA MAYORIA DE LOS TELEFONOS CELULARES QUE UTILIZAN LA TECNOLOGIA GSM SE DEBE UTILIZAR UN MECANISMO PARA PODER INTEGRAR LA LIBRERIA GNOKIIEN LENGUAJE CC CON EL LENGUAJE RUBY, PARA ESTO, DEBE CREARSE UNA EXTENSION A PARTIR DEL CODIGO DESARROLLADO EN LENGUAJE CC EXISTEN DISTINTOS MECANISMOS QUE PERMITEN LA CREACION DE UNA EXTENSION PARA RUBY SE PUEDE CREAR MANUALMENTE, UTILIZANDO UN GENERADOR COMO SWIG, O UTILIZAR CODIGO CC EMBEBIDO EN CODIGO RUBY AL CONSTRUIR UN GEM DE RUBY, ESTE PUEDE SER DISTRIBUIDO FACILMENTE COLOCANDOLO EN REPOSITORIOS COMO GITHUB O RUBYFORGE, DESDE DONDE PUEDE SER DESCARGADO Y UTILIZADO POR OTROS USUARIOS', 'SMS, RUBY, GEM, COMANDOS AT', 'APLICACIONES EN INTERNET'
